url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,number_of_bedrooms,livable_surface,number_of_bathrooms,number_of_toilets,type_of_heating,number_of_facades,number_of_floors,garden,garden_orientation,terrace,total_land_surface,buildable_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd16360,montignies-sur-sambre,VBD16360,169 000 €,356 €,No,Normal,No,,2,93 m²,,,Gas,3,,Yes,,No,267 m²,,,,538 kWh/m²/year,,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6030/marchienne-au-pont/vbd33313,marchienne-au-pont,VBD33313,175 000 €,,No,To renovate,,,4,,1,,,2,,Yes,,,,,,,337 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd33468,montignies-sur-sambre,VBD33468,200 000 €,624 €,No,Normal,No,,3,135 m²,1,2,Gas,2,2,Yes,North-east,Yes,170 m²,,Yes,Yes,450 kWh/m²/year,,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd33581,jumet,VBD33581,139 000 €,451 €,No,Excellent,,,2,80 m²,1,2,Gas,2,,No,,No,,,Yes,Yes,332 kWh/m²/year,,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd33774,jumet,VBD33774,210 000 €,438 €,No,To renovate,No,1850,2,168 m²,1,2,Fuel oil,3,,Yes,,Yes,616 m²,,Yes,Yes,316 kWh/m²/year,,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/vbd34562,jumet,VBD34562,109 500 €,,No,To renovate,,,2,145 m²,1,,,2,,Yes,,,500 m²,,,,492 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc67224,marchienne-au-pont,VBC67224,89 000 €,,No,To be renovated,No,,2,136 m²,1,1,Not specified,2,,No,,No,85 m²,78 m²,,Yes,311 kWh/m²/year,20250424007052,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd34169,gosselies,VBD34169,95 000 €,386 €,No,To be renovated,No,1900,2,104 m²,1,1,Gas,2,2,No,,Yes,65 m²,,Yes,Yes,380 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd34565,gilly,VBD34565,269 900 €,,No,Normal,No,1899,3,162 m²,1,,Gas,3,,Yes,,Yes,290 m²,,Yes,Yes,319 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbd34619,charleroi,VBD34619,250 000 €,,No,,No,,2,143 m²,1,1,Gas,3,,Yes,,Yes,830 m²,234 m²,Yes,Yes,337 kWh/m²/year,20240206026543,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6043/ransart/vbd34574,ransart,VBD34574,297 000 €,1 070 €,No,Normal,,1938,3,315 m²,2,4,Gas,3,2,No,,No,200 m²,,,,328 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vbd34814,charleroi,VBD34814,379 500 €,3 644 €,No,Excellent,,,3,223 m²,2,,,2,2,Yes,,Yes,,,,,255 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd33754,marchienne-au-pont,VBD33754,269 000 €,670 €,No,Normal,No,,4,195 m²,2,2,Gas,4,,Yes,,Yes,591 m²,,,,338 kWh/m²/year,20220126022232,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd34816,gosselies,VBD34816,175 000 €,,No,Normal,,,4,,1,,,2,,Yes,,,,,Yes,Yes,269 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbd34865,ransart,VBD34865,209 000 €,327 €,No,Excellent,No,,3,102 m²,1,,Fuel oil,3,2,Yes,,Yes,609 m²,,,Yes,493 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/6042/lodelinsart/vbd35113,lodelinsart,VBD35113,350 000 €,981 €,No,To be renovated,No,,5,320 m²,,2,Gas,4,1,Yes,,Yes,5920 m²,,,,401 kWh/m²/year,20250730001059,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6020/dampremy/vbd35656,dampremy,VBD35656,65 000 €,312 €,No,To be renovated,No,,2,,1,,,2,,Yes,,No,189 m²,,,,788 kWh/m²/year,20250930003202,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd35958,marchienne-au-pont,VBD35958,189 000 €,,No,,No,,4,187 m²,1,2,Fuel oil,,3,Yes,,No,,,,,108 kWh/m²/year,20180619027732,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/6001/marcinelle/vwd15159,marcinelle,VWD15159,350 000 €,1 488 €,No,,,,4,200 m²,1,,Fuel oil,,,Yes,,Yes,1691 m²,,No,Yes,262 kWh/m²/year,20250908017894,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd36165,gilly,VBD36165,249 000 €,,No,,No,,3,139 m²,1,,Not specified,2,,Yes,,Yes,201 m²,,,,226 kWh/m²/year,20251002002535,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbc81300,marchienne-au-pont,VBC81300,199 000 €,,No,Excellent,No,,3,144 m²,1,1,Gas,2,2,Yes,,Yes,,,Yes,Yes,265 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vwd15166,gilly,VWD15166,315 000 €,1 545 €,No,Excellent,No,,5,471 m²,1,,Gas,1,,Yes,,Yes,,,Yes,Yes,,,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd36238,marcinelle,VBD36238,200 000 €,616 €,No,Normal,No,1962,2,126 m²,,1,Gas,3,1,Yes,,Yes,238 m²,,,,420 kWh/m²/year,20250926012617,"No, certificate does not comply",,(information not available),(information not available)
