url,postal_code,municipality,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,surface_of_living_room,cellar,garage,number_of_garages,surface_kitchen,number_of_bathrooms,number_of_toilets,solar_panels,type_of_heating,type_of_glazing,alarm,elevator,access_for_disabled,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,surface_garden,terrace,surface_terrace,total_land_surface,ground_depth,terrain_width_at_the_roadside,sewer_connection,gas,rain_water_tank,specific_primary_energy_consumption,yearly_total_primary_energy_consumption,validity_date_epc_peb,co2_emission,certification_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd01471,1120,neder-over-heembeek,VBD01471,550 000 €,No,To be renovated,,,6,14 m²,16 m²,33 m²,37 m²,195 m²,36 m²,,Yes,3,18 m²,2,3,,Gas,,,No,No,,3,,,3,Yes,86 m²,Yes,52 m²,685 m²,,,,Yes,,367 kWh/m²/year,,,367,"No, certificate does not comply",,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1020/laken/vbd03118,1020,laken,VBD03118,590 000 €,No,Normal,Yes,,4,15 m²,13 m²,14 m²,13 m²,155 m²,17 m²,,,,15 m²,2,2,,Gas,Double glass,,No,No,,2,,2,,No,,Yes,13 m²,60 m²,,,Yes,Yes,,214 kWh/m²/year,19111 kWh/year,,42,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd05492,1120,neder-over-heembeek,VBD05492,320 000 €,No,To renovate,No,,3,16 m²,13 m²,,,115 m²,32 m²,Yes,,,10 m²,1,1,,Gas,Double glass,,No,,,2,,2,,No,,Yes,6 m²,80 m²,,,Yes,Yes,,702 kWh/m²/year,,22/07/2035,141,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc73049,1000,brussels,VBC73049,895 000 €,No,,No,,5,,,,,370 m²,,,,,,,,,Gas,,,,,South-west,2,,,,Yes,100 m²,No,,180 m²,,,,,,433 kWh/m²/year,,,85,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd06687,1120,neder-over-heembeek,VBD06687,430 000 €,No,Normal,,,4,16 m²,18 m²,13 m²,13 m²,155 m²,20 m²,Yes,,,11 m²,1,2,,Gas,Double glass,,No,No,South,2,7 m,,,Yes,144 m²,Yes,70 m²,324 m²,,7 m,Yes,Yes,,302 kWh/m²/year,,25/06/2028,60,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbu01340,1000,brussels,RBU01340,399 000 €,,New,No,On contract,3,,,,,,,,Yes,,,1,2,,Not specified,,,Yes,,,,,4,,No,,Yes,8 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd07959,1000,brussels,VBD07959,649 000 €,No,Normal,,On contract,5,15 m²,15 m²,,,213 m²,,,Yes,1,,2,,,Gas,,,No,No,,2,,2,,Yes,,Yes,,,,,,,,513 kWh/m²/year,,,103,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd08589,1000,brussels,VBD08589,370 000 €,No,Normal,No,Immediately,4,,,,,287 m²,,,,,,1,3,,Gas,,,No,,,2,,3,,No,,Yes,,,,,,,,332 kWh/m²/year,,,66,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd12627,1000,brussels,VBD12627,520 000 €,No,,No,,6,,,,,239 m²,,,,,,4,,,Gas,,,,,,2,,,,No,,No,,,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd14545,1000,brussels,VWD14545,1 160 000 €,No,Excellent,,On contract,4,18 m²,18 m²,28 m²,14 m²,270 m²,56 m²,,,,10 m²,2,,,Gas,Double glass,,,,,2,,,,,,Yes,15 m²,,,,,Yes,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
