Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Url
RBR88750,borgerhout,2140,369000.0,house,residence,standard,3.0,133.0,0,0,0,,128.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbr88750
VWD09446,antwerp,2140,549500.0,house,residence,standard,3.0,146.0,0,0,0,,30.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/vwd09446
RBR93494,antwerp,2018,,house,master-house,standard,6.0,416.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbr93494
RBS52265,wilrijk,2610,469000.0,house,residence,standard,5.0,249.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbs52265
RBT00788,borgerhout,2140,449000.0,house,master-house,standard,4.0,235.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/master-house/for-sale/2140/borgerhout/rbt00788
RBT15292,antwerp,2020,529000.0,house,residence,standard,3.0,123.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt15292
RBT00905,deurne,2100,289000.0,house,residence,standard,4.0,127.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt00905
RBT09962,deurne,2100,345000.0,house,residence,standard,7.0,190.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt09962
RBT14407,antwerp,2060,499000.0,house,residence,standard,4.0,275.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt14407
RBT21112,deurne,2100,265000.0,house,residence,standard,3.0,147.0,0,0,0,,74.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbt21112
RBT26450,antwerp,2018,575000.0,house,residence,standard,4.0,248.0,0,0,0,,27.0,,0,To renovate,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt26450
RBT26464,antwerp,2000,980000.0,house,residence,standard,3.0,409.0,0,0,0,,86.0,,0,To renovate,https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbt26464
RBT26465,antwerp,2000,980000.0,house,mixed-building,standard,3.0,409.0,0,0,0,,86.0,,0,To renovate,https://immovlan.be/en/detail/mixed-building/for-sale/2000/antwerp/rbt26465
RBT36139,wilrijk,2610,499900.0,house,residence,standard,3.0,159.0,0,0,0,,43.0,,0,New,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbt36139
