url,municipality_url,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,number_of_bathrooms,number_of_toilets,elevator,floor_of_appartment,number_of_facades,frontage_width,garden,terrace,surface_terrace,ground_depth,gas,running_water,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,cadastral_income,garage,orientation_of_the_front_facade,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_as_build_,build_year,type_of_heating,type_of_glazing,air_conditioning,alarm,access_for_disabled,balcony,the_property_and_or_its_surroundings_are_protected_
https://immovlan.be/en/detail/apartment/for-sale/9032/wondelgem/rbu64897,wondelgem,RBU64897,295000,,New,,,2,78,0,1,1,1,2,3,12 m,,,10,,,1,"yes, certificate in accordance",0,,no flooding area,,,,West,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/penthouse/for-sale/9032/wondelgem/rbu64898,wondelgem,RBU64898,465000,,New,,,3,146,0,1,1,1,3,3,12 m,,,35,,,1,"yes, certificate in accordance",0,,no flooding area,,,,West,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/penthouse/for-sale/9032/wondelgem/rbu64899,wondelgem,RBU64899,395000,,New,,,3,113,0,1,1,1,3,3,12 m,,,24,,,1,"yes, certificate in accordance",0,,no flooding area,,,,South-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/vbd48455,gent,VBD48455,345000,0,Excellent,,,2,77,0,2,1,1,1,2,,,,,,1,1,"yes, certificate in accordance",,,no flooding area,,,1,West,79,,09/11/2023,,2014,,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9032/wondelgem/rbu64900,wondelgem,RBU64900,299000,,New,,,2,82,0,1,1,1,1,3,18 m,,,9,,,1,"yes, certificate in accordance",0,,no flooding area,,,,South-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9032/wondelgem/rbu64901,wondelgem,RBU64901,299000,,New,,,2,82,0,1,1,1,2,3,12 m,,,10,,,1,"yes, certificate in accordance",0,,no flooding area,,,,South-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9032/wondelgem/rbu64902,wondelgem,RBU64902,289000,,New,,,2,78,0,1,1,1,1,3,18 m,,,8,,,1,"yes, certificate in accordance",0,,no flooding area,,,,South-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9051/sint-denijs-westrem/rbu65231,sint-denijs-westrem,RBU65231,695000,0,Excellent,,,9,418,0,,4,1,2,3,,,,,,1,1,"No, certificate does not comply",0,,no flooding area,,2602,,,184,,30/09/2035,,1981,Gas,Double glass,1,1,1,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu58960,gent,RBU58960,310000,0,,0,On contract,2,90,,1,1,0,2,,11 m,,,,,,,,0,"Residential zone (residential, urban)",no flooding area,,,,,395,20251023-0003714390-RES-1,,,1964,Gas,Double glass,0,0,0,0,0
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu65487,gent,RBU65487,385000,0,Normal,,On contract,2,115,0,1,2,1,1,2,6 m,,,8,,1,1,"No, certificate does not comply",1,,,,1442,1,South-east,110,,,,1995,Gas,Double glass,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbb41286,charleroi,VBB41286,199000,0,Fully renovated,,,1,,,,,,,,,,,,,,,,,,,,,1,,298,,15/05/2034,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc33092,charleroi,VBC33092,148500,0,Normal,0,,3,89,0,1,1,1,4,2,,,,3,,,,"yes, certificate in accordance",,,,,1051,1,South-east,176,20151129002474,29/11/2025,,1971,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc71356,charleroi,VBC71356,99000,0,,0,,2,85,0,1,1,1,3,,,,,,,,,"yes, certificate in accordance",,,,,1085,1,,231,20170502020540,,,,Not specified,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd19529,charleroi,VBD19529,105000,0,To be renovated,0,On contract,2,62,0,1,1,0,3,,,,,7,,,,"yes, certificate in accordance",,,,,,,,194,20250617025985,,,,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc91853,charleroi,VBC91853,95000,0,,,,2,81,,1,1,1,,,,,,,,,,,,,,,,,,240,,15/06/2035,,,,,,,,,
https://immovlan.be/en/detail/duplex/for-sale/6030/marchienne-au-pont/vaz92568,marchienne-au-pont,VAZ92568,14999,0,Normal,,,3,97,0,1,1,0,,2,,,,26,,1,1,,,,,,520,,,239,,03/07/2033,,1990,Gas,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/6032/mont-sur-marchienne/vbd05851,mont-sur-marchienne,VBD05851,182500,0,,0,On contract,2,80,,,1,1,1,,,,,,,,,"No, certificate does not comply",,,,,1331,1,,136,20250723003659,,,1979,Gas,Double glass,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbc76347,marcinelle,VBC76347,149000,0,Excellent,0,On contract,2,154,0,1,2,0,0,3,,,,,,1,1,"yes, certificate in accordance",,,no flooding area,,1130,,,256,,30/01/2035,,1964,Gas,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbd17826,marcinelle,VBD17826,169999,0,Normal,0,On contract,3,116,0,1,1,1,2,,,,,10,,1,1,,,,no flooding area,,1294,1,,219,,15/06/2035,,1968,Gas,Double glass,,,1,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd19344,charleroi,VBD19344,135000,0,,0,,2,85,,1,,,6,2,,,,,,,,,,,,,,,,,,,,,Not specified,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6041/gosselies/vbd21473,gosselies,VBD21473,15000,0,Excellent,,,2,77,0,1,1,1,1,2,,,,48,,,1,"yes, certificate in accordance",,,no flooding area,,,,North-west,198,,18/11/2034,,2009,Electricity,,,,1,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd20185,charleroi,VBD20185,140000,0,Normal,1,On contract,2,82,0,1,1,1,3,2,,,,4,,1,1,"No, certificate does not comply",0,,no flooding area,,1160,1,North-west,172,,13/11/2026,,1960,Fuel oil,Double glass,,,1,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd19584,charleroi,VBD19584,145000,0,To renovate,,Immediately,2,132,,1,1,1,2,2,,,,,,1,1,,,,,,1387,,,135,,27/08/2035,,,Gas,Double glass,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6010/couillet/vbd23239,couillet,VBD23239,35000,0,Excellent,0,,2,104,0,,1,1,3,3,,,,,,,,,,,,,961,1,,65,uc 20250904000658,04/09/2035,,,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd23928,charleroi,VBD23928,120000,0,Excellent,,,1,67,,,1,,0,,,,,17,,,,,,,,,741,1,,187,,,,,Gas,Double glass,,,,,
