url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,surface_of_living_room,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,garden,surface_garden,terrace,total_land_surface,buildable_surface,ground_depth,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,609af22983804603bea6649c89f568ac_pdf,property_type,build_year,total_surface,cellar,surface_of_the_cellar_s_,attic,wash_room,garage,number_of_parking_spaces_indoor_,kitchen_equipment,kitchen_type,surface_kitchen,type_of_glazing,alarm,fireplace,adaptations_for_elderlies,access_for_disabled,number_of_facades,number_of_parking_places_outdoor_,garden_orientation,sewer_connection,running_water,rain_water_tank,yearly_total_primary_energy_consumption,certification_gasoil_tank,building_permission_granted,g_score,p_score,water_sensitive_open_space_areas,the_property_and_or_its_surroundings_are_protected_,frontage_width,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,number_of_floors,terrain_width_at_the_roadside,gas,swimming_pool,certification_electrical_installation_validity,planning_permission_granted,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf,postal_code,municipality,number_of_garages,floor_of_appartment,surface_terrace,validity_date_epc_peb,certification_as_build_,air_conditioning,balcony,entry_phone,vat_applied_,solar_panels,floor_heating,level_e,level_k,number_of_showers,co2_emission
https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16446,antwerp,RBU16446,525000.0,,0.0,Normal,0.0,Immediately,3.0,290.0,0.0,,2.0,2.0,Gas,0.0,South-east,,,,106.0,106.0,20 m,267.0,3575569-RES-1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs95130,antwerp,RBS95130,549000.0,946.0,0.0,,0.0,,7.0,245.0,,,4.0,5.0,,,,,66.0,,166.0,,,188.0,,,1.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16486,antwerp,RBU16486,919000.0,1093.0,0.0,To be renovated,0.0,Negotiable,5.0,387.0,0.0,,4.0,,Gas,0.0,South,,,,223.0,221.0,25 m,532.0,20210506-0002412207-RES-1,"yes, certificate in accordance",0.0,"Residential area of cultural, historical value",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16512,hoboken,RBU16512,445000.0,1003.0,0.0,Normal,0.0,On contract,4.0,185.0,0.0,,1.0,2.0,Gas,0.0,South,,155.0,,305.0,104.0,30 m,,3661378-RES-1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16914,deurne,RBU16914,279000.0,505.0,0.0,Normal,0.0,On contract,5.0,119.0,0.0,,5.0,5.0,Electricity,0.0,South,,,,71.0,,,657.0,202502240003538105RES1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu16729,ekeren,RBU16729,399000.0,,0.0,,0.0,On contract,3.0,220.0,,,2.0,3.0,Gas,0.0,South,,,,392.0,,36 m,0.0,20230821-0002968963-RES-1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu16621,wilrijk,RBU16621,497200.0,1591.0,0.0,To be renovated,0.0,On contract,3.0,228.0,0.0,53.0,1.0,3.0,Gas,,North,,95.0,,211.0,,33 m,369.0,,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rwc40525,deurne,RWC40525,459500.0,1541.0,0.0,Excellent,,,4.0,168.0,,,2.0,,Gas,,,,161.0,,,,,78.0,0003669482,"yes, certificate in accordance",,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu19867,deurne,RBU19867,295000.0,,0.0,To be renovated,0.0,On contract,2.0,134.0,0.0,,2.0,2.0,Gas,0.0,South-west,,11.0,,93.0,,,257.0,202508120003663324RES1,,0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20194,merksem,RBU20194,349000.0,920.0,0.0,To be renovated,0.0,On contract,4.0,180.0,0.0,,2.0,2.0,Gas,0.0,,,3.0,,72.0,68.0,13 m,269.0,3639243,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
