url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64819,9041,oostakker,RBU64819,416705,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64820,9041,oostakker,RBU64820,416705,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64822,9041,oostakker,RBU64822,433044,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64821,9041,oostakker,RBU64821,416705,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64824,9041,oostakker,RBU64824,463750,,0,,4,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64823,9041,oostakker,RBU64823,472794,,0,,4,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64825,9041,oostakker,RBU64825,397964,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64826,9041,oostakker,RBU64826,397964,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64827,9041,oostakker,RBU64827,429448,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64829,9041,oostakker,RBU64829,413716,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64828,9041,oostakker,RBU64828,505872,,0,,4,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64830,9041,oostakker,RBU64830,439142,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8670/sint-idesbald/rbu64831,8670,sint-idesbald,RBU64831,850000,0,0,,3,1,,1,1,2,,,,,,,,,180,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/villa/for-sale/9990/maldegem/rbu64832,9990,maldegem,RBU64832,795000,0,0,,4,,,1,1,2,2,,,,4,,,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,
