url,municipality_url,property_id,price,vat,state_of_the_property,build_year,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,furnished,surface_of_living_room,attic,kitchen_equipment,kitchen_type,surface_kitchen,number_of_bathrooms,number_of_toilets,type_of_heating,type_of_glazing,elevator,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,terrace,total_land_surface,terrain_width_at_the_roadside,sewer_connection,gas,running_water,swimming_pool,specific_primary_energy_consumption,certification_electrical_installation,certification_electrical_installation_validity,building_permission_granted,planning_permission_granted,preemption_right,g_score,p_score,flooding_area_type,demarcated_flooding_area,water_sensitive_open_space_areas,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbu64840,dilsen-stokkem,RBU64840,265000,0,None,None,None,3,None,None,None,None,190,None,None,1,None,None,None,1,2,Gas,Double glass,0,West,3,None,None,None,None,None,507,None,None,None,None,1,270,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3582/koersel/rbu64843,koersel,RBU64843,249000,0,None,1953,On contract,3,None,None,None,None,140,None,None,1,None,None,None,1,1,Fuel oil,Simple glass,0,North-west,2,9 m,2,3,None,None,1359,25 m,None,None,None,None,826,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu64841,beringen,RBU64841,398000,0,Excellent,1958,On contract,5,18,13,12,12,233,0,28,1,Super equipped,None,22,1,2,None,Double glass,0,None,4,None,None,None,None,None,629,None,1,1,None,None,55,None,None,None,1,0,None,None,None,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/2530/boechout/vbd48442,boechout,VBD48442,605447,None,New,None,None,3,None,None,None,None,128,None,None,None,None,None,None,1,2,None,None,None,None,4,9 m,None,None,None,None,623,9 m,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3560/lummen/rbu64842,lummen,RBU64842,449000,0,None,1994,On contract,4,None,None,None,None,282,None,None,1,None,None,None,1,2,Electricity,Double glass,0,South-east,2,16 m,4,3,None,None,1130,24 m,None,None,None,None,211,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9230/massemen/vbd48443,massemen,VBD48443,630926,None,New,None,None,3,None,None,None,None,184,None,None,None,None,None,None,1,2,None,None,None,None,4,12 m,None,None,None,None,1173,12 m,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9230/massemen/vbd48444,massemen,VBD48444,642611,None,New,None,None,3,None,None,None,None,172,None,None,None,None,None,None,2,2,None,None,None,None,4,12 m,None,None,None,None,1173,12 m,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3700/tongeren/rbu64844,tongeren,RBU64844,235000,0,None,1919,On contract,4,None,None,None,None,183,None,None,None,None,None,None,2,2,Gas,Double glass,0,None,2,None,None,None,None,None,None,None,None,None,None,None,685,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8870/izegem/rbu64856,izegem,RBU64856,175000,0,Normal,1946,None,2,None,None,None,None,98,None,None,1,None,None,None,1,None,Gas,Double glass,None,None,2,None,None,3,None,None,100,None,1,1,1,None,478,"yes, certificate in accordance",None,None,None,None,A,A,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1731/relegem/rbu64858,relegem,RBU64858,420000,0,Normal,1957,On contract,3,14,15,30,None,155,0,16,1,Super equipped,None,9,1,2,None,Double glass,0,North,2,7 m,3,None,None,None,126,None,1,1,1,0,260,None,None,1,0,None,A,A,no flooding area,None,0,None,None,None,None,None
