url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/5544/agimont/vbd45258,5544,agimont,VBD45258,189 000 €,No,No,On contract,3,,Yes,Yes,1,1,2,,No,,3,4,Yes,Yes,381 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/5070/sart-saint-laurent/vbd45300,5070,sart-saint-laurent,VBD45300,279 000 €,No,No,On contract,3,No,Yes,Yes,1,1,2,Fuel oil,No,North,4,2,Yes,Yes,227 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5310/branchon/vbd45301,5310,branchon,VBD45301,275 000 €,No,No,Immediately,3,No,Yes,Yes,1,1,1,,No,,3,1,Yes,Yes,337 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6200/bouffioulx/vbd45314,6200,bouffioulx,VBD45314,149 000 €,No,No,,4,,Yes,Yes,1,,,Gas,,,,,Yes,No,463 kWh/m²/year,No certificate,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7100/haine-saint-pierre/vbd45315,7100,haine-saint-pierre,VBD45315,224 000 €,No,No,,3,,Yes,Yes,,,,Not specified,,,,,Yes,Yes,410 kWh/m²/year,No certificate,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd45451,6200,chatelet,VBD45451,279 000 €,No,,On contract,5,No,Yes,,,1,2,Gas,No,North-west,2,4,Yes,Yes,176 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6717/attert/vbd45550,6717,attert,VBD45550,125 000 €,No,,On contract,3,No,,,,1,,,No,,3,2,Yes,Yes,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd45568,5660,aublain,VBD45568,990 000 €,No,No,,29,No,,,,14,11,Fuel oil,No,,,,No,No,,,,(information not available),(information not available)
https://immovlan.be/en/detail/bungalow/for-sale/5660/aublain/vbd45572,5660,aublain,VBD45572,99 000 €,No,No,,2,No,,Yes,,1,1,Gas,No,,,,Yes,No,613 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd45573,5660,aublain,VBD45573,344 500 €,No,No,,4,No,,Yes,,1,2,Not specified,No,,,,No,No,75 kWh/m²/year,,,(information not available),(information not available)
